dependenciabloq|f0t4|leerprotocolo|f0t3|2016-05-31T14:34:22.0000000Z
dependenciabloq|f0t7|lavarsemanos|f0t4|2016-05-31T14:46:05.0000000Z
dependenciasnobloq|f1t16|agregaragar| f1t14-ord_f1t16|2016-05-31T14:57:18.0000000Z
dependenciasnobloq|f1t20|apagaragitador| f1t14-ord_f1t20|2016-05-31T14:57:54.0000000Z
accionnoencontrada| |BandejaBotes| |2016-05-31T15:13:21.0000000Z
accionnoencontrada| |BandejaBotes| |2016-05-31T15:13:28.0000000Z
accionnoencontrada| |BandejaBotes| |2016-05-31T15:13:41.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2016-05-31T15:24:42.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2016-05-31T15:24:45.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2016-05-31T15:24:51.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2016-05-31T15:27:22.0000000Z
accionrealizada|f2t9|tomaroligonucleicoder|tomaroligonucleicoder|2016-05-31T15:31:13.0000000Z
accionrealizada|f2t9|tomaroligonucleicoder|tomaroligonucleicoder|2016-05-31T15:32:25.0000000Z
accionrealizada|f2t13|tomarpolimerasa|tomarpolimerasa|2016-05-31T15:33:10.0000000Z
accionnoencontrada| |sacartuboligacion| |2016-05-31T15:42:58.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:53:46.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:53:53.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:53:57.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:54:02.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:54:06.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:54:10.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:54:14.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:54:18.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:54:23.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:54:27.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:54:31.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:54:35.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:54:39.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:54:43.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:54:48.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:54:52.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:54:56.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:55:00.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:55:04.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:55:08.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:55:13.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:55:17.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:55:21.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:55:25.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:55:29.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:55:33.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:55:38.0000000Z
dependenciabloq|f3t7|tomaradnplasmidico|f3t6|2016-05-31T15:57:12.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t28|2016-05-31T15:57:28.0000000Z
dependenciabloq|f3t57|cerrartermobloque|f3t56|2016-05-31T16:19:13.0000000Z
dependenciabloq|f3t57|cerrartermobloque|f3t56|2016-05-31T16:19:21.0000000Z
dependenciabloq|f3t57|cerrartermobloque|f3t56|2016-05-31T16:19:32.0000000Z
accionrealizada|f3t57|cerrartermobloque|cerrartermobloque|2016-05-31T16:19:45.0000000Z
