accionrealizada|f0t1|entregarbata|entregarbata|2013-05-08T15:16:56.0000000Z
dependenciabloq|f0t4|leerprotocolo|f0t3|2013-05-08T15:19:21.0000000Z
dependenciabloq|f0t4|leerprotocolo|f0t3|2013-05-08T15:19:23.0000000Z
dependenciabloq|f0t4|leerprotocolo|f0t3|2013-05-08T15:19:28.0000000Z
dependenciabloq|f0t8|entregarguantes|f0t7|2013-05-08T15:28:05.0000000Z
dependenciabloq|f0t8|entregarguantes|f0t7|2013-05-08T15:28:07.0000000Z
dependenciasnobloq|f1t1|entregarvaso| f0t7-f0t8|2013-05-08T15:35:02.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2013-05-08T15:36:30.0000000Z
accionnoencontrada| |bloquearpoyata| |2013-05-08T15:38:40.0000000Z
dependenciasnobloq|f1t20|apagaragitador| f1t13-f1t14-f1t16|2013-05-08T15:47:58.0000000Z
accionrealizada|f1t11|encenderagitador|encenderagitador|2013-05-08T15:49:50.0000000Z
accionrealizada|f1t11|encenderagitador|encenderagitador|2013-05-08T15:51:05.0000000Z
accionrealizada|f1t11|encenderagitador|encenderagitador|2013-05-08T15:51:17.0000000Z
accionrealizada|f1t11|encenderagitador|encenderagitador|2013-05-08T15:51:19.0000000Z
accionnoencontrada| |entregarguantes| |2013-05-08T15:56:32.0000000Z
accionnoencontrada| |entregarguantes| |2013-05-08T15:56:36.0000000Z
accionnoencontrada| |entregarguantes| |2013-05-08T15:56:41.0000000Z
accionnoencontrada| |entregarpipetaazul| |2013-05-08T15:57:03.0000000Z
accionnoencontrada| |cargarpuntaamarilla| |2013-05-08T15:57:07.0000000Z
accionnoencontrada| |entregarguantes| |2013-05-08T15:57:09.0000000Z
accionrealizada|f1t11|encenderagitador|encenderagitador|2013-05-08T15:57:27.0000000Z
accionrealizada|f1t11|encenderagitador|encenderagitador|2013-05-08T15:57:29.0000000Z
accionrealizada|f1t11|encenderagitador|encenderagitador|2013-05-08T15:57:31.0000000Z
dependenciasnobloq|f1t14|ajustarph| f1t13|2013-05-08T15:57:31.0000000Z
dependenciasnobloq|f1t21|entregarbotella|f0t8|2013-05-08T16:13:04.0000000Z
accionrealizada|f1t30|encendercabina|encendercabina|2013-05-08T16:27:57.0000000Z
dependenciasnobloq|f1t32|soltarbotellacabina|f1t31|2013-05-08T16:28:02.0000000Z
accionnoencontrada| |tomaragrobacterium| |2013-05-08T16:29:46.0000000Z
accionnoencontrada| |tomartampote| |2013-05-08T16:29:54.0000000Z
accionnoencontrada| |tomartampote| |2013-05-08T16:30:49.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2013-05-08T16:32:02.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2013-05-08T16:32:06.0000000Z
accionrealizada|f1t30|encendercabina|encendercabina|2013-05-08T16:35:00.0000000Z
accionrealizada|f1t30|encendercabina|encendercabina|2013-05-08T16:35:42.0000000Z
accionrealizada|f1t30|encendercabina|encendercabina|2013-05-08T16:37:09.0000000Z
