accionrealizada|f0t6|sentarse|sentarse|2013-05-21T14:04:50.0000000Z
accionnoencontrada| |bloquearpoyata| |2013-05-21T14:44:03.0000000Z
accionnoencontrada| |bloquearpoyata| |2013-05-21T14:44:15.0000000Z
accionnoencontrada| |bloquearpoyata| |2013-05-21T14:44:22.0000000Z
accionnoencontrada| |bloquearpoyata| |2013-05-21T14:44:31.0000000Z
accionnoencontrada| |bloquearpoyata| |2013-05-21T14:45:04.0000000Z
accionnoencontrada| |entregarbata| |2013-05-21T14:45:24.0000000Z
accionnoencontrada| |entregarbata| |2013-05-21T14:45:34.0000000Z
accionnoencontrada| |entregarbata| |2013-05-21T14:45:36.0000000Z
accionnoencontrada| |entregarbata| |2013-05-21T14:45:40.0000000Z
accionnoencontrada| |entregarbata| |2013-05-21T14:45:58.0000000Z
accionnoencontrada| |entregarbata| |2013-05-21T14:46:09.0000000Z
accionnoencontrada| |entregarbata| |2013-05-21T14:46:11.0000000Z
accionnoencontrada| |entregarbata| |2013-05-21T14:46:17.0000000Z
accionnoencontrada| |entregarbata| |2013-05-21T14:47:13.0000000Z
accionnoencontrada| |entregarbata| |2013-05-21T14:47:20.0000000Z
accionnoencontrada| |entregarbata| |2013-05-21T14:47:31.0000000Z
accionnoencontrada| |entregarbata| |2013-05-21T14:47:33.0000000Z
accionnoencontrada| |entregarbata| |2013-05-21T14:48:20.0000000Z
accionnoencontrada| |entregarbata| |2013-05-21T14:49:42.0000000Z
accionnoencontrada| |entregarbata| |2013-05-21T14:49:49.0000000Z
accionnoencontrada| |entregarbata| |2013-05-21T14:49:51.0000000Z
accionnoencontrada| |entregarbata| |2013-05-21T14:49:54.0000000Z
accionnoencontrada| |entregarbata| |2013-05-21T14:50:19.0000000Z
accionnoencontrada| |entregarbata| |2013-05-21T14:50:23.0000000Z
accionnoencontrada| |entregarbata| |2013-05-21T14:50:48.0000000Z
accionnoencontrada| |entregarbata| |2013-05-21T14:51:33.0000000Z
accionnoencontrada| |entregarbata| |2013-05-21T14:51:47.0000000Z
