dependenciabloq|f0t4|leerprotocolo|f0t3|2013-05-22T15:09:11.0000000Z
accionrealizada|f0t1|entregarbata|entregarbata|2013-05-22T15:16:45.0000000Z
accionrealizada|f0t8|entregarguantes|entregarguantes|2013-05-22T15:21:36.0000000Z
accionrealizada|f0t8|entregarguantes|entregarguantes|2013-05-22T15:21:38.0000000Z
accionrealizada|f0t8|entregarguantes|entregarguantes|2013-05-22T15:21:40.0000000Z
accionrealizada|f0t8|entregarguantes|entregarguantes|2013-05-22T15:21:42.0000000Z
accionrealizada|f0t8|entregarguantes|entregarguantes|2013-05-22T15:21:44.0000000Z
accionrealizada|f0t8|entregarguantes|entregarguantes|2013-05-22T15:21:46.0000000Z
accionrealizada|f0t8|entregarguantes|entregarguantes|2013-05-22T15:21:48.0000000Z
accionrealizada|f0t8|entregarguantes|entregarguantes|2013-05-22T15:21:52.0000000Z
accionrealizada|f0t8|entregarguantes|entregarguantes|2013-05-22T15:21:54.0000000Z
accionrealizada|f0t8|entregarguantes|entregarguantes|2013-05-22T15:21:56.0000000Z
accionrealizada|f1t12|agregarmys|agregarmys|2013-05-22T15:29:12.0000000Z
dependenciasnobloq|f1t20|apagaragitador| f1t13-f1t14-f1t16|2013-05-22T15:29:19.0000000Z
accionrealizada|f1t38|entregarchopo|entregarchopo|2013-05-22T15:41:44.0000000Z
accionrealizada|f1t38|entregarchopo|entregarchopo|2013-05-22T15:41:46.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2013-05-22T15:42:33.0000000Z
accionrealizada|f1t41|adjuntarbandeja|adjuntarbandeja|2013-05-22T15:42:38.0000000Z
accionnoencontrada| |entregarchopocrecido| |2013-05-22T15:44:25.0000000Z
accionnoencontrada| |entregarguantes| |2013-05-22T15:45:40.0000000Z
accionnoencontrada| |entregarguantes| |2013-05-22T15:45:55.0000000Z
accionnoencontrada| |encenderpcr| |2013-05-22T15:47:40.0000000Z
accionnoencontrada| |encenderpcr| |2013-05-22T15:47:42.0000000Z
accionnoencontrada| |entregarguantes| |2013-05-22T15:49:16.0000000Z
accionnoencontrada| |entregarguantes| |2013-05-22T15:49:24.0000000Z
accionrealizada|f2t29|sacartuboeppendorf|sacartuboeppendorf|2013-05-22T15:51:36.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2013-05-22T15:51:36.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2013-05-22T15:51:39.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2013-05-22T15:51:41.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2013-05-22T15:51:54.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2013-05-22T15:52:02.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2013-05-22T15:52:04.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2013-05-22T15:52:17.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2013-05-22T15:52:19.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2013-05-22T15:52:21.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-22T15:52:26.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-22T15:53:29.0000000Z
accionnoencontrada| |sacartuboligacion| |2013-05-22T15:53:34.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-22T15:53:40.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2013-05-22T15:54:22.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2013-05-22T15:54:24.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2013-05-22T15:54:26.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2013-05-22T15:54:28.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2013-05-22T15:54:30.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2013-05-22T15:54:32.0000000Z
dependenciasnobloq|f2t52|finmezcla|f2t34-f2t35-f2t36-f2t37-f2t38-f2t39-f2t40-f2t41|2013-05-22T15:55:17.0000000Z
accionrealizada|f2t54|entregartubomezcla|entregartubomezcla|2013-05-22T15:55:43.0000000Z
accionrealizada|f2t54|entregartubomezcla|entregartubomezcla|2013-05-22T15:55:45.0000000Z
accionrealizada|f2t55|abrirpcr|abrirpcr|2013-05-22T15:56:09.0000000Z
accionnoencontrada| |entregarguantes| |2013-05-22T16:00:20.0000000Z
accionnoencontrada| |entregarguantes| |2013-05-22T16:00:22.0000000Z
accionrealizada|f3t10|tomarenzimaligasa|tomarenzimaligasa|2013-05-22T16:01:03.0000000Z
accionrealizada|f3t28|sacartuboligacion|sacartuboligacion|2013-05-22T16:01:51.0000000Z
accionrealizada|f3t28|sacartuboligacion|sacartuboligacion|2013-05-22T16:01:53.0000000Z
dependenciasnobloq|f3t52|finmezcla|f3t33-f3t34-f3t35-f3t37|2013-05-22T16:02:43.0000000Z
accionrealizada|f3t54|entregartubomezcla|entregartubomezcla|2013-05-22T16:03:09.0000000Z
accionrealizada|f3t54|entregartubomezcla|entregartubomezcla|2013-05-22T16:03:11.0000000Z
accionrealizada|f3t57|cerrartermobloque|cerrartermobloque|2013-05-22T16:03:46.0000000Z
accionrealizada|f3t57|cerrartermobloque|cerrartermobloque|2013-05-22T16:03:48.0000000Z
accionrealizada|f3t58|amplificarfragmento|amplificarfragmento|2013-05-22T16:04:06.0000000Z
accionrealizada|f3t58|amplificarfragmento|amplificarfragmento|2013-05-22T16:04:08.0000000Z
