accionrealizada|f0t1|entregarbata|entregarbata|2014-05-22T16:42:25.0000000Z
accionrealizada|f0t8|entregarguantes|entregarguantes|2014-05-22T17:03:32.0000000Z
accionrealizada|f0t8|entregarguantes|entregarguantes|2014-05-22T17:03:35.0000000Z
accionrealizada|f0t8|entregarguantes|entregarguantes|2014-05-22T17:03:37.0000000Z
accionrealizada|f0t8|entregarguantes|entregarguantes|2014-05-22T17:04:29.0000000Z
accionrealizada|f0t8|entregarguantes|entregarguantes|2014-05-22T17:04:33.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:08:16.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:08:19.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:08:22.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:08:25.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:08:28.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:08:31.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:08:34.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:08:37.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:08:39.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:08:42.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:08:45.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:08:48.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:08:51.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:08:54.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:08:57.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:09:01.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:09:04.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:09:06.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:09:09.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:09:12.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:09:16.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:09:18.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:09:21.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:09:24.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:09:27.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:09:29.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:09:32.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:09:35.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:09:37.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:09:40.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:09:43.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:09:46.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:09:48.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:09:51.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:09:55.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:09:57.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:10:00.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:10:03.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:10:06.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:10:09.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:10:12.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:10:14.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:10:17.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:10:20.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:10:23.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:10:26.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:10:29.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:10:31.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:10:34.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:10:37.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:10:40.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:10:43.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:10:46.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:10:49.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:10:52.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:10:55.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:10:58.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:11:01.0000000Z
accionrealizada|f1t12|agregarmys|agregarmys|2014-05-22T17:13:25.0000000Z
accionrealizada|f1t13|agregarsacarosa|agregarsacarosa|2014-05-22T17:13:34.0000000Z
accionrealizada|f1t12|agregarmys|agregarmys|2014-05-22T17:15:16.0000000Z
accionrealizada|f1t13|agregarsacarosa|agregarsacarosa|2014-05-22T17:15:21.0000000Z
dependenciasnobloq|f1t20|apagaragitador| f1t14-f1t16|2014-05-22T17:15:44.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2014-05-22T17:18:26.0000000Z
accionrealizada|f1t34|entregarbandeja|entregarbandeja|2014-05-22T17:25:55.0000000Z
accionrealizada|f1t34|entregarbandeja|entregarbandeja|2014-05-22T17:33:35.0000000Z
accionrealizada|f1t34|entregarbandeja|entregarbandeja|2014-05-22T17:51:37.0000000Z
dependenciasnobloq|f1t36|llenarbotes|f1t29|2014-05-22T17:58:41.0000000Z
accionrealizada|f1t36|llenarbotes|llenarbotes|2014-05-22T17:58:48.0000000Z
accionrealizada|f1t36|llenarbotes|llenarbotes|2014-05-22T17:58:53.0000000Z
dependenciabloq|f1t40|cortarplanta|f1t39|2014-05-22T17:58:56.0000000Z
dependenciabloq|f1t40|cortarplanta|f1t39|2014-05-22T17:59:02.0000000Z
dependenciabloq|f1t40|cortarplanta|f1t39|2014-05-22T17:59:08.0000000Z
dependenciabloq|f1t40|cortarplanta|f1t39|2014-05-22T17:59:14.0000000Z
dependenciabloq|f1t40|cortarplanta|f1t39|2014-05-22T17:59:19.0000000Z
dependenciabloq|f1t40|cortarplanta|f1t39|2014-05-22T17:59:26.0000000Z
dependenciabloq|f1t40|cortarplanta|f1t39|2014-05-22T17:59:31.0000000Z
dependenciabloq|f1t40|cortarplanta|f1t39|2014-05-22T17:59:37.0000000Z
dependenciabloq|f1t40|cortarplanta|f1t39|2014-05-22T17:59:45.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2014-05-22T18:00:17.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2014-05-22T18:04:02.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2014-05-22T18:04:06.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2014-05-22T18:04:11.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2014-05-22T18:04:15.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2014-05-22T18:04:20.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2014-05-22T18:04:32.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2014-05-22T18:04:35.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2014-05-22T18:04:47.0000000Z
accionrealizada|f1t41|adjuntarbandeja|adjuntarbandeja|2014-05-22T18:05:01.0000000Z
accionrealizada|f1t42|apagarcabina|apagarcabina|2014-05-22T18:05:41.0000000Z
accionnoencontrada| |abrirpcr| |2014-05-22T18:11:38.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2014-05-22T18:19:42.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2014-05-22T18:19:52.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2014-05-22T18:20:08.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2014-05-22T18:20:17.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-05-22T18:33:18.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:35:08.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:35:14.0000000Z
accionrealizada|f2t52|finmezcla|finmezcla|2014-05-22T19:35:31.0000000Z
