dependenciabloq|f0t2|bloquearpoyata|f0t1|2013-05-21T17:13:04.0000000Z
accionrealizada|f0t1|entregarbata|entregarbata|2013-05-21T17:13:44.0000000Z
accionrealizada|f0t1|entregarbata|entregarbata|2013-05-21T17:14:04.0000000Z
accionrealizada|f0t1|entregarbata|entregarbata|2013-05-21T17:14:14.0000000Z
accionrealizada|f0t1|entregarbata|entregarbata|2013-05-21T17:14:23.0000000Z
accionrealizada|f0t1|entregarbata|entregarbata|2013-05-21T17:14:25.0000000Z
dependenciabloq|f0t5|releerfundamentos|f0t3|2013-05-21T17:15:29.0000000Z
dependenciabloq|f0t5|releerfundamentos|f0t3|2013-05-21T17:15:41.0000000Z
dependenciabloq|f0t5|releerfundamentos|f0t3|2013-05-21T17:16:17.0000000Z
dependenciabloq|f0t5|releerfundamentos|f0t3|2013-05-21T17:16:22.0000000Z
accionrealizada|f0t8|entregarguantes|entregarguantes|2013-05-21T17:17:13.0000000Z
accionnoencontrada| |entregarvaso| |2013-05-21T17:18:03.0000000Z
accionnoencontrada| |entregarguantes| |2013-05-21T17:18:36.0000000Z
accionnoencontrada| |entregarguantes| |2013-05-21T17:18:38.0000000Z
accionnoencontrada| |entregarguantes| |2013-05-21T17:18:44.0000000Z
accionnoencontrada| |entregarguantes| |2013-05-21T17:18:46.0000000Z
accionnoencontrada| |entregarvaso| |2013-05-21T17:19:03.0000000Z
accionnoencontrada| |entregarvaso| |2013-05-21T17:19:25.0000000Z
accionnoencontrada| |entregarvaso| |2013-05-21T17:19:33.0000000Z
dependenciasnobloq|f1t20|apagaragitador| f1t14-f1t16|2013-05-21T17:23:21.0000000Z
accionrealizada|f1t21|entregarbotella|entregarbotella|2013-05-21T17:24:56.0000000Z
accionnoencontrada| |agregaragarosa| |2013-05-21T17:25:20.0000000Z
accionrealizada|f1t21|entregarbotella|entregarbotella|2013-05-21T17:27:30.0000000Z
accionrealizada|f1t11|encenderagitador|encenderagitador|2013-05-21T17:29:27.0000000Z
accionrealizada|f1t11|encenderagitador|encenderagitador|2013-05-21T17:29:29.0000000Z
accionrealizada|f1t11|encenderagitador|encenderagitador|2013-05-21T17:29:31.0000000Z
accionrealizada|f1t38|entregarchopo|entregarchopo|2013-05-21T17:33:32.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2013-05-21T17:41:32.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2013-05-21T17:41:38.0000000Z
accionrealizada|f1t30|encendercabina|encendercabina|2013-05-21T17:42:21.0000000Z
accionrealizada|f1t31|contartiempocabina|contartiempocabina|2013-05-21T17:44:37.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2013-05-21T17:44:51.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2013-05-21T17:44:57.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2013-05-21T17:45:18.0000000Z
accionrealizada|f1t41|adjuntarbandeja|adjuntarbandeja|2013-05-21T17:45:26.0000000Z
accionnoencontrada| |entregarchopocrecido| |2013-05-21T17:47:27.0000000Z
accionnoencontrada| |entregarchopocrecido| |2013-05-21T17:47:34.0000000Z
accionnoencontrada| |entregarchopocrecido| |2013-05-21T17:47:37.0000000Z
accionnoencontrada| |entregarchopocrecido| |2013-05-21T17:47:47.0000000Z
accionnoencontrada| |entregarchopocrecido| |2013-05-21T17:47:59.0000000Z
accionnoencontrada| |entregarchopocrecido| |2013-05-21T17:48:34.0000000Z
accionnoencontrada| |entregarchopocrecido| |2013-05-21T17:48:36.0000000Z
accionrealizada|f1t30|encendercabina|encendercabina|2013-05-21T17:49:22.0000000Z
accionrealizada|f1t30|encendercabina|encendercabina|2013-05-21T17:49:27.0000000Z
accionrealizada|f1t30|encendercabina|encendercabina|2013-05-21T17:49:29.0000000Z
accionnoencontrada| |entregarchopocrecido| |2013-05-21T17:50:01.0000000Z
dependenciabloq|f2t3|releerprotocolo|f0t4|2013-05-21T17:52:52.0000000Z
dependenciabloq|f2t2|releerfundamentos|f0t3|2013-05-21T17:52:55.0000000Z
dependenciabloq|f2t2|releerfundamentos|f0t3|2013-05-21T17:53:02.0000000Z
dependenciabloq|f2t2|releerfundamentos|f0t3|2013-05-21T17:54:00.0000000Z
dependenciabloq|f2t2|releerfundamentos|f0t3|2013-05-21T17:54:04.0000000Z
dependenciabloq|f2t2|releerfundamentos|f0t3|2013-05-21T17:54:08.0000000Z
dependenciabloq|f2t2|releerfundamentos|f0t3|2013-05-21T17:54:10.0000000Z
dependenciabloq|f2t2|releerfundamentos|f0t3|2013-05-21T17:54:12.0000000Z
dependenciabloq|f2t3|releerprotocolo|f0t4|2013-05-21T17:54:14.0000000Z
dependenciabloq|f2t2|releerfundamentos|f0t3|2013-05-21T17:54:16.0000000Z
dependenciabloq|f2t2|releerfundamentos|f0t3|2013-05-21T17:54:25.0000000Z
dependenciabloq|f2t2|releerfundamentos|f0t3|2013-05-21T17:55:20.0000000Z
dependenciabloq|f2t2|releerfundamentos|f0t3|2013-05-21T17:55:41.0000000Z
dependenciabloq|f2t2|releerfundamentos|f0t3|2013-05-21T17:55:44.0000000Z
dependenciabloq|f2t2|releerfundamentos|f0t3|2013-05-21T17:55:49.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2013-05-21T17:56:36.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2013-05-21T18:00:23.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2013-05-21T18:00:34.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2013-05-21T18:01:11.0000000Z
accionnoencontrada| |entregarbandeja| |2013-05-21T18:01:49.0000000Z
accionrealizada|f2t27|entregarboteeppendorf|entregarboteeppendorf|2013-05-21T18:02:28.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2013-05-21T18:04:43.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2013-05-21T18:04:48.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2013-05-21T18:06:56.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2013-05-21T18:06:58.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2013-05-21T18:07:20.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2013-05-21T18:08:33.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2013-05-21T18:08:35.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2013-05-21T18:09:05.0000000Z
accionrealizada|f2t27|entregarboteeppendorf|entregarboteeppendorf|2013-05-21T18:10:34.0000000Z
accionnoencontrada| |sacartuboligacion| |2013-05-21T18:13:58.0000000Z
accionnoencontrada| |sacartuboligacion| |2013-05-21T18:14:21.0000000Z
accionnoencontrada| |sacartuboligacion| |2013-05-21T18:14:46.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-21T18:14:46.0000000Z
dependenciasnobloq|f2t52|finmezcla|f2t34-f2t35-f2t36-f2t37-f2t38-f2t39-f2t40-f2t41|2013-05-21T18:17:15.0000000Z
incompatibilidadnobloq|f2t52|finmezcla|f2t43|2013-05-21T18:17:15.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-21T18:18:51.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-21T18:19:01.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2013-05-21T18:19:48.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-21T18:20:06.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2013-05-21T18:20:31.0000000Z
dependenciabloq|f3t2|releerfundamentos|f0t3|2013-05-21T18:22:50.0000000Z
dependenciabloq|f3t2|releerfundamentos|f0t3|2013-05-21T18:22:56.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2013-05-21T18:32:54.0000000Z
accionrealizada|f3t31|cargarpuntaamarilla|cargarpuntaamarilla|2013-05-21T18:33:18.0000000Z
dependenciasnobloq|f3t52|finmezcla|f3t33-f3t34-f3t36-f3t37|2013-05-21T18:34:04.0000000Z
dependenciabloq|f3t54|entregartubomezcla|f3t53|2013-05-21T18:34:11.0000000Z
