accionrealizada|f0t1|entregarbata|entregarbata|2013-05-23T15:01:43.0000000Z
dependenciabloq|f0t4|leerprotocolo|f0t3|2013-05-23T15:02:21.0000000Z
dependenciabloq|f0t4|leerprotocolo|f0t3|2013-05-23T15:02:45.0000000Z
dependenciasnobloq|f1t20|apagaragitador| f1t16|2013-05-23T15:14:47.0000000Z
accionnoencontrada| |entregarboteeppendorf| |2013-05-23T15:29:48.0000000Z
accionnoencontrada| |entregarchopocrecido| |2013-05-23T15:39:44.0000000Z
accionnoencontrada| |bloquearpoyata| |2013-05-23T15:41:54.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2013-05-23T15:45:41.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2013-05-23T15:46:03.0000000Z
dependenciabloq|f2t14|tomaraguadestilada|f2t6|2013-05-23T15:48:53.0000000Z
dependenciasnobloq|f2t52|finmezcla|f2t34-f2t35-f2t36-f2t37-f2t38-f2t39-f2t40-f2t41|2013-05-23T15:49:18.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-23T15:51:04.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-23T15:51:08.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-23T15:51:24.0000000Z
dependenciabloq|f2t22|tomartampote|f2t6|2013-05-23T15:51:47.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2013-05-23T15:52:28.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2013-05-23T15:52:37.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-23T15:52:50.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-23T15:52:56.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-23T15:53:15.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-23T15:53:22.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-23T15:54:22.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-23T15:54:25.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-23T15:54:30.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2013-05-23T16:18:56.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2013-05-23T16:19:01.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2013-05-23T16:19:18.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-23T16:21:02.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-23T16:21:09.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-23T16:21:14.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-23T16:21:21.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-23T16:21:24.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-23T16:21:46.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2013-05-23T16:22:08.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-23T16:22:53.0000000Z
dependenciabloq|f2t59|entregarmezclapcr|f2t58|2013-05-23T16:22:56.0000000Z
accionrealizada|f3t4|calentartermobloque|calentartermobloque|2013-05-23T16:24:41.0000000Z
dependenciabloq|f3t31|cargarpuntaamarilla|f3t30|2013-05-23T16:26:34.0000000Z
dependenciabloq|f3t9|tomartamponligasa|f3t6|2013-05-23T16:32:03.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2013-05-23T16:32:30.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2013-05-23T16:32:33.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2013-05-23T16:32:35.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2013-05-23T16:33:04.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2013-05-23T16:35:31.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2013-05-23T16:35:37.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2013-05-23T16:35:40.0000000Z
accionrealizada|f3t29|entregarpipetaamarilla|entregarpipetaamarilla|2013-05-23T16:35:47.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2013-05-23T16:40:32.0000000Z
accionrealizada|f3t32|iniciarmezcla|iniciarmezcla|2013-05-23T16:40:41.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2013-05-23T16:47:53.0000000Z
dependenciasnobloq|f3t52|finmezcla|f3t33-f3t34-f3t35-f3t36-f3t37|2013-05-23T16:48:02.0000000Z
incompatibilidadnobloq|f3t52|finmezcla|f3t48|2013-05-23T16:48:03.0000000Z
dependenciabloq|f3t58|amplificarfragmento|f3t57|2013-05-23T16:49:36.0000000Z
