accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-21T18:11:03.0000000Z
accionnoencontrada| |agregaragarosa| |2014-05-21T18:12:32.0000000Z
accionrealizada|f1t31|contartiempocabina|contartiempocabina|2014-05-21T18:17:12.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2014-05-21T18:23:56.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2014-05-21T18:28:59.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2014-05-21T18:29:03.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2014-05-21T18:29:25.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2014-05-21T18:30:50.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2014-05-21T18:31:46.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2014-05-21T18:31:53.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2014-05-21T18:31:56.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2014-05-21T18:32:00.0000000Z
accionrealizada|f1t34|entregarbandeja|entregarbandeja|2014-05-21T18:32:49.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2014-05-21T18:33:24.0000000Z
accionrealizada|f1t39|soltarchopocabina|soltarchopocabina|2014-05-21T18:33:59.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2014-05-21T18:34:14.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2014-05-21T18:35:30.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2014-05-21T18:36:33.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2014-05-21T18:43:10.0000000Z
accionrealizada|f1t21|entregarbotella|entregarbotella|2014-05-21T18:51:11.0000000Z
accionrealizada|f1t34|entregarbandeja|entregarbandeja|2014-05-21T18:52:57.0000000Z
accionrealizada|f1t34|entregarbandeja|entregarbandeja|2014-05-21T18:54:00.0000000Z
dependenciasnobloq|f1t36|llenarbotes|f1t29|2014-05-21T18:56:00.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2014-05-21T18:56:08.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2014-05-21T18:56:23.0000000Z
dependenciabloq|f1t40|cortarplanta|f1t39|2014-05-21T18:56:45.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2014-05-21T19:17:13.0000000Z
dependenciasnobloq|f2t52|finmezcla|f2t35-f2t36-f2t37-f2t38-f2t39-f2t40|2014-05-21T19:19:14.0000000Z
incompatibilidadnobloq|f2t52|finmezcla|f2t49|2014-05-21T19:19:18.0000000Z
accionrealizada|f2t59|entregarmezclapcr|entregarmezclapcr|2014-05-21T19:21:35.0000000Z
accionnoencontrada| |tomaradn| |2014-05-21T19:26:17.0000000Z
dependenciabloq|f3t53|soltarpipetaamarilla|f3t52|2014-05-21T19:29:09.0000000Z
dependenciabloq|f3t53|soltarpipetaamarilla|f3t52|2014-05-21T19:29:15.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t31|2014-05-21T19:29:34.0000000Z
accionrealizada|f3t52|finmezcla|finmezcla|2014-05-21T19:31:29.0000000Z
accionrealizada|f3t58|amplificarfragmento|amplificarfragmento|2014-05-21T19:33:28.0000000Z
accionrealizada|f3t59|entregarmezclaligacion|entregarmezclaligacion|2014-05-21T19:33:47.0000000Z
