dependenciabloq|f0t7|lavarsemanos|f0t4|2014-05-22T16:45:38.0000000Z
dependenciabloq|f0t4|leerprotocolo|f0t3|2014-05-22T16:46:37.0000000Z
dependenciabloq|f0t8|entregarguantes|f0t7|2014-05-22T17:02:53.0000000Z
dependenciabloq|f0t8|entregarguantes|f0t7|2014-05-22T17:02:58.0000000Z
accionrealizada|f0t8|entregarguantes|entregarguantes|2014-05-22T17:03:43.0000000Z
accionrealizada|f0t8|entregarguantes|entregarguantes|2014-05-22T17:03:46.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:08:07.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-22T17:08:10.0000000Z
accionrealizada|f1t11|encenderagitador|encenderagitador|2014-05-22T17:09:20.0000000Z
accionrealizada|f1t14|ajustarph|ajustarph|2014-05-22T17:11:00.0000000Z
accionnoencontrada| |agregaragarosa| |2014-05-22T17:11:09.0000000Z
accionnoencontrada| |agregaragarosa| |2014-05-22T17:11:48.0000000Z
accionrealizada|f1t12|agregarmys|agregarmys|2014-05-22T17:14:03.0000000Z
accionnoencontrada| |agregaragarosa| |2014-05-22T17:14:17.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2014-05-22T17:17:39.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2014-05-22T17:17:47.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2014-05-22T17:17:55.0000000Z
accionrealizada|f1t12|agregarmys|agregarmys|2014-05-22T17:19:04.0000000Z
accionrealizada|f1t13|agregarsacarosa|agregarsacarosa|2014-05-22T17:19:15.0000000Z
accionnoencontrada| |agregaragarosa| |2014-05-22T17:19:23.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2014-05-22T17:19:52.0000000Z
accionnoencontrada| |agregaragarosa| |2014-05-22T17:20:16.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2014-05-22T17:20:27.0000000Z
dependenciasnobloq|f1t20|apagaragitador| f1t16|2014-05-22T17:20:34.0000000Z
accionrealizada|f1t20|apagaragitador|apagaragitador|2014-05-22T17:20:48.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2014-05-22T17:21:00.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2014-05-22T17:21:04.0000000Z
accionrealizada|f1t27|autoclavar|autoclavar|2014-05-22T17:23:32.0000000Z
accionrealizada|f1t27|autoclavar|autoclavar|2014-05-22T17:23:49.0000000Z
accionrealizada|f1t30|encendercabina|encendercabina|2014-05-22T17:25:34.0000000Z
dependenciabloq|f1t33|agregariaa|f1t32|2014-05-22T17:27:05.0000000Z
accionrealizada|f1t28|entregarbotellaautoclavada|entregarbotellaautoclavada|2014-05-22T17:27:55.0000000Z
accionrealizada|f1t33|agregariaa|agregariaa|2014-05-22T17:30:42.0000000Z
accionrealizada|f1t34|entregarbandeja|entregarbandeja|2014-05-22T17:31:06.0000000Z
accionrealizada|f1t36|llenarbotes|llenarbotes|2014-05-22T17:32:22.0000000Z
accionrealizada|f1t36|llenarbotes|llenarbotes|2014-05-22T17:32:26.0000000Z
accionrealizada|f1t36|llenarbotes|llenarbotes|2014-05-22T17:32:34.0000000Z
dependenciabloq|f1t40|cortarplanta|f1t39|2014-05-22T17:32:37.0000000Z
dependenciabloq|f1t40|cortarplanta|f1t39|2014-05-22T17:32:42.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2014-05-22T17:33:23.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2014-05-22T17:33:27.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2014-05-22T17:37:53.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2014-05-22T17:37:57.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2014-05-22T17:38:00.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2014-05-22T17:38:04.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2014-05-22T17:38:08.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2014-05-22T17:38:11.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2014-05-22T17:38:14.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2014-05-22T17:38:18.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2014-05-22T17:38:21.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2014-05-22T17:38:25.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2014-05-22T17:38:28.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2014-05-22T17:38:31.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2014-05-22T17:38:35.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2014-05-22T17:38:38.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2014-05-22T17:38:42.0000000Z
accionrealizada|f1t41|adjuntarbandeja|adjuntarbandeja|2014-05-22T17:39:09.0000000Z
accionrealizada|f1t41|adjuntarbandeja|adjuntarbandeja|2014-05-22T17:39:17.0000000Z
accionrealizada|f1t41|adjuntarbandeja|adjuntarbandeja|2014-05-22T17:39:24.0000000Z
accionrealizada|f1t41|adjuntarbandeja|adjuntarbandeja|2014-05-22T17:40:08.0000000Z
accionrealizada|f1t41|adjuntarbandeja|adjuntarbandeja|2014-05-22T17:40:11.0000000Z
accionrealizada|f1t41|adjuntarbandeja|adjuntarbandeja|2014-05-22T17:40:15.0000000Z
accionrealizada|f1t42|apagarcabina|apagarcabina|2014-05-22T17:40:33.0000000Z
accionrealizada|f1t42|apagarcabina|apagarcabina|2014-05-22T17:40:48.0000000Z
accionnoencontrada| |entregarchopocrecido| |2014-05-22T17:45:58.0000000Z
accionnoencontrada| |entregarchopocrecido| |2014-05-22T17:46:08.0000000Z
accionnoencontrada| |encenderpcr| |2014-05-22T17:46:48.0000000Z
accionnoencontrada| |encenderpcr| |2014-05-22T17:46:58.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2014-05-22T17:48:06.0000000Z
accionrealizada|f2t7|tomaradn|tomaradn|2014-05-22T17:55:53.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T17:56:49.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T17:56:53.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T17:56:58.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T17:57:04.0000000Z
accionrealizada|f2t28|soltarboteeppendorf|soltarboteeppendorf|2014-05-22T18:09:52.0000000Z
accionrealizada|f2t28|soltarboteeppendorf|soltarboteeppendorf|2014-05-22T18:09:58.0000000Z
accionrealizada|f2t28|soltarboteeppendorf|soltarboteeppendorf|2014-05-22T18:10:05.0000000Z
accionrealizada|f2t28|soltarboteeppendorf|soltarboteeppendorf|2014-05-22T18:10:13.0000000Z
accionrealizada|f2t28|soltarboteeppendorf|soltarboteeppendorf|2014-05-22T18:10:18.0000000Z
accionrealizada|f2t28|soltarboteeppendorf|soltarboteeppendorf|2014-05-22T18:10:25.0000000Z
accionrealizada|f2t28|soltarboteeppendorf|soltarboteeppendorf|2014-05-22T18:10:32.0000000Z
accionrealizada|f2t29|sacartuboeppendorf|sacartuboeppendorf|2014-05-22T18:11:47.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-22T18:12:07.0000000Z
accionrealizada|f2t29|sacartuboeppendorf|sacartuboeppendorf|2014-05-22T18:12:16.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-05-22T18:12:56.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-05-22T18:14:53.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-05-22T18:14:59.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-05-22T18:15:21.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:16:55.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:17:01.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:17:06.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:17:13.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:17:40.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:17:54.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:18:16.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:18:21.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:18:40.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:18:50.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:18:55.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:19:00.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:19:07.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:19:27.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:19:33.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:19:39.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:19:53.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:20:00.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:20:05.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:20:12.0000000Z
accionrealizada|f2t7|tomaradn|tomaradn|2014-05-22T18:20:58.0000000Z
accionrealizada|f2t7|tomaradn|tomaradn|2014-05-22T18:21:26.0000000Z
accionrealizada|f2t9|tomaroligonucleicoder|tomaroligonucleicoder|2014-05-22T18:21:47.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T18:23:06.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T18:23:13.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T18:23:32.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T18:23:38.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T18:23:45.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T18:23:57.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T18:24:03.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T18:24:39.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T18:24:47.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T18:24:52.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T18:24:58.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T18:25:04.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:26:10.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:27:51.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:29:54.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:29:59.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-05-22T18:30:32.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-05-22T18:30:55.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:32:52.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:33:09.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:33:32.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:33:50.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:33:55.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:34:27.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:35:13.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:36:44.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:36:50.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:37:23.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:38:28.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:39:42.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:39:58.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:40:05.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:40:10.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:40:16.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:40:22.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:40:31.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:40:40.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:41:06.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:41:12.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-22T18:41:17.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-22T18:41:22.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-05-22T18:41:29.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:42:55.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:43:00.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:43:08.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:44:27.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:46:16.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-22T18:47:52.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-22T18:48:22.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2014-05-22T18:48:55.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2014-05-22T18:49:23.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-22T18:50:32.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-22T18:51:17.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-05-22T18:51:32.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-05-22T18:51:54.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-22T18:55:48.0000000Z
accionrealizada|f2t7|tomaradn|tomaradn|2014-05-22T18:57:40.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T18:57:48.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T19:00:21.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T19:00:28.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T19:00:54.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-05-22T19:01:37.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-05-22T19:01:44.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T19:05:29.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-05-22T19:05:38.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T19:06:17.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T19:07:33.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T19:08:09.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-05-22T19:08:15.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T19:11:00.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T19:15:55.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-05-22T19:16:24.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T19:17:20.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T19:17:26.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T19:17:32.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T19:18:13.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T19:18:18.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T19:18:24.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-05-22T19:18:31.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T19:20:15.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-05-22T19:20:35.0000000Z
accionrealizada|f2t31|adjuntarpipetaamarilla|adjuntarpipetaamarilla|2014-05-22T19:21:08.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-05-22T19:21:37.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-05-22T19:21:59.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-05-22T19:22:05.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-05-22T19:22:10.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-05-22T19:22:21.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T19:23:43.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T19:35:11.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T19:35:21.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T19:37:04.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-22T19:37:28.0000000Z
