accionrealizada|f0t8|entregarguantes|entregarguantes|2015-06-17T10:51:16.0000000Z
dependenciasnobloq|f1t20|apagaragitador| f1t14-f1t16|2015-06-17T10:56:04.0000000Z
accionrealizada|f1t14|ajustarph|ajustarph|2015-06-17T10:56:26.0000000Z
accionnoencontrada| |agregaragarosa| |2015-06-17T10:57:08.0000000Z
accionrealizada|f1t11|encenderagitador|encenderagitador|2015-06-17T10:57:31.0000000Z
accionrealizada|f1t21|entregarbotella|entregarbotella|2015-06-17T10:58:28.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2015-06-17T10:59:22.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2015-06-17T10:59:24.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2015-06-17T10:59:27.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2015-06-17T10:59:29.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2015-06-17T10:59:32.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2015-06-17T10:59:34.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2015-06-17T10:59:36.0000000Z
accionrealizada|f1t28|entregarbotellaautoclavada|entregarbotellaautoclavada|2015-06-17T11:04:56.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-17T11:05:18.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-17T11:05:34.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-17T11:05:37.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-17T11:05:40.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-17T11:05:42.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-17T11:05:45.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-17T11:05:48.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-17T11:05:55.0000000Z
accionrealizada|f1t36|llenarbotes|llenarbotes|2015-06-17T11:06:15.0000000Z
accionrealizada|f1t36|llenarbotes|llenarbotes|2015-06-17T11:06:18.0000000Z
accionrealizada|f1t33|agregariaa|agregariaa|2015-06-17T11:06:40.0000000Z
dependenciabloq|f1t40|cortarplanta|f1t39|2015-06-17T11:06:41.0000000Z
dependenciabloq|f1t40|cortarplanta|f1t39|2015-06-17T11:07:01.0000000Z
dependenciasnobloq|f1t40|cortarplanta|f1t37|2015-06-17T11:08:35.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2015-06-17T11:08:41.0000000Z
accionrealizada|f1t41|adjuntarbandeja|adjuntarbandeja|2015-06-17T11:08:48.0000000Z
accionrealizada|f1t41|adjuntarbandeja|adjuntarbandeja|2015-06-17T11:08:50.0000000Z
accionrealizada|f1t41|adjuntarbandeja|adjuntarbandeja|2015-06-17T11:08:53.0000000Z
accionrealizada|f1t42|apagarcabina|apagarcabina|2015-06-17T11:08:58.0000000Z
accionrealizada|f1t42|apagarcabina|apagarcabina|2015-06-17T11:09:01.0000000Z
accionrealizada|f1t42|apagarcabina|apagarcabina|2015-06-17T11:09:03.0000000Z
accionnoencontrada| |cerrartermobloque| |2015-06-17T11:13:08.0000000Z
accionnoencontrada| |cerrartermobloque| |2015-06-17T11:13:32.0000000Z
accionnoencontrada| |encenderpcr| |2015-06-17T11:13:53.0000000Z
