dependenciabloq|f0t8|entregarguantes|f0t7|2015-06-17T09:33:27.0000000Z
accionnoencontrada| |lavarsemanos| |2015-06-17T09:38:07.0000000Z
accionrealizada|f1t14|ajustarph|ajustarph|2015-06-17T09:45:53.0000000Z
accionrealizada|f1t14|ajustarph|ajustarph|2015-06-17T09:45:56.0000000Z
accionrealizada|f1t14|ajustarph|ajustarph|2015-06-17T09:45:59.0000000Z
accionrealizada|f1t14|ajustarph|ajustarph|2015-06-17T09:46:01.0000000Z
accionrealizada|f1t14|ajustarph|ajustarph|2015-06-17T09:46:04.0000000Z
accionrealizada|f1t14|ajustarph|ajustarph|2015-06-17T09:46:06.0000000Z
accionrealizada|f1t14|ajustarph|ajustarph|2015-06-17T09:46:09.0000000Z
accionrealizada|f1t14|ajustarph|ajustarph|2015-06-17T09:46:11.0000000Z
accionrealizada|f1t14|ajustarph|ajustarph|2015-06-17T09:46:14.0000000Z
accionrealizada|f1t14|ajustarph|ajustarph|2015-06-17T09:46:16.0000000Z
accionnoencontrada| |agregaragarosa| |2015-06-17T09:46:29.0000000Z
accionnoencontrada| |agregaragarosa| |2015-06-17T09:46:32.0000000Z
accionrealizada|f1t20|apagaragitador|apagaragitador|2015-06-17T09:47:14.0000000Z
accionrealizada|f1t20|apagaragitador|apagaragitador|2015-06-17T09:47:16.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2015-06-17T09:47:47.0000000Z
accionrealizada|f1t36|llenarbotes|llenarbotes|2015-06-17T09:55:49.0000000Z
dependenciabloq|f2t14|tomaraguadestilada|f2t6|2015-06-17T10:20:20.0000000Z
accionrealizada|f2t10|tomartamponpolimerasa|tomartamponpolimerasa|2015-06-17T10:21:45.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-17T10:26:50.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2015-06-17T10:27:54.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-17T10:28:08.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-17T10:29:28.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-17T10:30:06.0000000Z
accionrealizada|f2t28|soltarboteeppendorf|soltarboteeppendorf|2015-06-17T10:30:34.0000000Z
accionrealizada|f2t28|soltarboteeppendorf|soltarboteeppendorf|2015-06-17T10:30:37.0000000Z
accionrealizada|f2t28|soltarboteeppendorf|soltarboteeppendorf|2015-06-17T10:30:40.0000000Z
accionrealizada|f2t28|soltarboteeppendorf|soltarboteeppendorf|2015-06-17T10:30:43.0000000Z
accionrealizada|f2t28|soltarboteeppendorf|soltarboteeppendorf|2015-06-17T10:30:46.0000000Z
accionrealizada|f2t29|sacartuboeppendorf|sacartuboeppendorf|2015-06-17T10:31:00.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2015-06-17T10:31:12.0000000Z
accionrealizada|f2t29|sacartuboeppendorf|sacartuboeppendorf|2015-06-17T10:31:15.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2015-06-17T10:31:38.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2015-06-17T10:32:23.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2015-06-17T10:32:26.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2015-06-17T10:32:37.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2015-06-17T10:32:39.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2015-06-17T10:32:43.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2015-06-17T10:33:09.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2015-06-17T10:33:17.0000000Z
accionnoencontrada| |sacartuboligacion| |2015-06-17T10:33:33.0000000Z
accionrealizada|f3t7|tomaradnplasmidico|tomaradnplasmidico|2015-06-17T10:45:27.0000000Z
accionrealizada|f3t28|sacartuboligacion|sacartuboligacion|2015-06-17T10:47:34.0000000Z
accionrealizada|f3t32|iniciarmezcla|iniciarmezcla|2015-06-17T10:49:53.0000000Z
accionrealizada|f3t32|iniciarmezcla|iniciarmezcla|2015-06-17T10:50:24.0000000Z
dependenciasnobloq|f3t52|finmezcla|f3t33-f3t34-f3t35-f3t36-f3t37|2015-06-17T10:50:32.0000000Z
accionrealizada|f3t52|finmezcla|finmezcla|2015-06-17T10:50:50.0000000Z
accionrealizada|f3t55|abrirtermobloque|abrirtermobloque|2015-06-17T10:53:59.0000000Z
