accionrealizada|f0t1|entregarbata|entregarbata|2015-06-15T09:07:00.0000000Z
dependenciabloq|f0t4|leerprotocolo|f0t3|2015-06-15T09:16:00.0000000Z
dependenciabloq|f0t4|leerprotocolo|f0t3|2015-06-15T09:16:03.0000000Z
dependenciasnobloq|f1t16|agregaragar| f1t12-f1t13-f1t14|2015-06-15T09:50:02.0000000Z
accionnoencontrada| |agregaragarosa| |2015-06-15T09:51:13.0000000Z
dependenciasnobloq|f1t20|apagaragitador| f1t14-ord_f1t20|2015-06-15T09:51:39.0000000Z
incompatibilidadnobloq|f1t20|apagaragitador|f1t17-f1t18-f1t19|2015-06-15T09:51:39.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2015-06-15T09:52:58.0000000Z
accionnoencontrada| |tomartampote| |2015-06-15T10:05:07.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2015-06-15T10:24:20.0000000Z
accionnoencontrada| |agregaragar| |2015-06-15T10:28:36.0000000Z
accionnoencontrada| |agregaragarosa| |2015-06-15T10:28:44.0000000Z
dependenciasnobloq|f2t52|finmezcla|f2t34-f2t35-f2t36-f2t37-f2t38-f2t39-f2t40-f2t41|2015-06-15T10:30:16.0000000Z
accionrealizada|f2t53|soltarpipetaamarilla|soltarpipetaamarilla|2015-06-15T10:34:14.0000000Z
accionrealizada|f2t53|soltarpipetaamarilla|soltarpipetaamarilla|2015-06-15T10:34:17.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-15T10:36:12.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-15T10:36:20.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-15T10:36:23.0000000Z
accionrealizada|f3t14|tomartamponpolimerasa|tomartamponpolimerasa|2015-06-15T10:42:27.0000000Z
accionrealizada|f3t55|abrirtermobloque|abrirtermobloque|2015-06-15T10:43:33.0000000Z
accionrealizada|f3t28|sacartuboligacion|sacartuboligacion|2015-06-15T10:46:20.0000000Z
dependenciabloq|f3t31|cargarpuntaamarilla|f3t30|2015-06-15T10:46:26.0000000Z
dependenciabloq|f3t53|soltarpipetaamarilla|f3t52|2015-06-15T10:46:42.0000000Z
dependenciabloq|f3t53|soltarpipetaamarilla|f3t52|2015-06-15T10:46:46.0000000Z
dependenciabloq|f3t53|soltarpipetaamarilla|f3t52|2015-06-15T10:46:50.0000000Z
dependenciabloq|f3t31|cargarpuntaamarilla|f3t30|2015-06-15T10:46:54.0000000Z
dependenciabloq|f3t30|adjuntarpipetaamarilla|f3t29|2015-06-15T10:47:01.0000000Z
dependenciabloq|f3t31|cargarpuntaamarilla|f3t30|2015-06-15T10:47:05.0000000Z
dependenciabloq|f3t53|soltarpipetaamarilla|f3t52|2015-06-15T10:49:01.0000000Z
dependenciabloq|f3t53|soltarpipetaamarilla|f3t52|2015-06-15T10:49:05.0000000Z
dependenciabloq|f3t30|adjuntarpipetaamarilla|f3t29|2015-06-15T10:49:09.0000000Z
dependenciabloq|f3t31|cargarpuntaamarilla|f3t30|2015-06-15T10:52:03.0000000Z
dependenciabloq|f3t31|cargarpuntaamarilla|f3t30|2015-06-15T10:52:07.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2015-06-15T10:52:16.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2015-06-15T10:52:20.0000000Z
dependenciabloq|f3t57|cerrartermobloque|f3t56|2015-06-15T10:52:32.0000000Z
dependenciabloq|f3t53|soltarpipetaamarilla|f3t52|2015-06-15T10:55:00.0000000Z
dependenciabloq|f3t53|soltarpipetaamarilla|f3t52|2015-06-15T10:55:05.0000000Z
dependenciabloq|f3t30|adjuntarpipetaamarilla|f3t29|2015-06-15T10:55:08.0000000Z
dependenciabloq|f3t57|cerrartermobloque|f3t56|2015-06-15T10:55:13.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2015-06-15T10:57:07.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2015-06-15T10:57:22.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2015-06-15T10:57:27.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2015-06-15T11:06:11.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2015-06-15T11:06:32.0000000Z
dependenciabloq|f3t31|cargarpuntaamarilla|f3t30|2015-06-15T11:06:49.0000000Z
dependenciabloq|f3t31|cargarpuntaamarilla|f3t30|2015-06-15T11:06:53.0000000Z
dependenciabloq|f3t31|cargarpuntaamarilla|f3t30|2015-06-15T11:06:57.0000000Z
dependenciabloq|f3t31|cargarpuntaamarilla|f3t30|2015-06-15T11:07:03.0000000Z
dependenciabloq|f3t31|cargarpuntaamarilla|f3t30|2015-06-15T11:07:07.0000000Z
dependenciabloq|f3t31|cargarpuntaamarilla|f3t30|2015-06-15T11:07:11.0000000Z
dependenciabloq|f3t31|cargarpuntaamarilla|f3t30|2015-06-15T11:07:15.0000000Z
dependenciabloq|f3t31|cargarpuntaamarilla|f3t30|2015-06-15T11:07:18.0000000Z
dependenciabloq|f3t31|cargarpuntaamarilla|f3t30|2015-06-15T11:07:23.0000000Z
dependenciabloq|f3t31|cargarpuntaamarilla|f3t30|2015-06-15T11:07:26.0000000Z
dependenciabloq|f3t31|cargarpuntaamarilla|f3t30|2015-06-15T11:07:30.0000000Z
dependenciabloq|f3t31|cargarpuntaamarilla|f3t30|2015-06-15T11:07:34.0000000Z
