accionrealizada|f0t7|lavarsemanos|lavarsemanos|2013-05-23T16:08:44.0000000Z
accionnoencontrada| |lavarsemanos| |2013-05-23T16:12:31.0000000Z
accionnoencontrada| |lavarsemanos| |2013-05-23T16:12:45.0000000Z
accionrealizada|f1t13|agregarsacarosa|agregarsacarosa|2013-05-23T16:18:09.0000000Z
dependenciasnobloq|f1t20|apagaragitador| f1t12-f1t14-f1t16|2013-05-23T16:18:29.0000000Z
accionrealizada|f1t11|encenderagitador|encenderagitador|2013-05-23T16:20:30.0000000Z
accionrealizada|f1t11|encenderagitador|encenderagitador|2013-05-23T16:20:43.0000000Z
accionrealizada|f1t11|encenderagitador|encenderagitador|2013-05-23T16:21:18.0000000Z
accionrealizada|f1t30|encendercabina|encendercabina|2013-05-23T16:32:22.0000000Z
accionrealizada|f1t30|encendercabina|encendercabina|2013-05-23T16:33:06.0000000Z
accionrealizada|f1t30|encendercabina|encendercabina|2013-05-23T16:33:13.0000000Z
accionrealizada|f1t30|encendercabina|encendercabina|2013-05-23T16:33:28.0000000Z
accionrealizada|f1t30|encendercabina|encendercabina|2013-05-23T16:33:30.0000000Z
accionrealizada|f1t30|encendercabina|encendercabina|2013-05-23T16:33:32.0000000Z
accionrealizada|f1t30|encendercabina|encendercabina|2013-05-23T16:33:34.0000000Z
accionrealizada|f1t30|encendercabina|encendercabina|2013-05-23T16:33:44.0000000Z
accionrealizada|f1t30|encendercabina|encendercabina|2013-05-23T16:33:55.0000000Z
dependenciasnobloq|f1t32|soltarbotellacabina|f1t31|2013-05-23T16:34:18.0000000Z
accionrealizada|f1t33|agregariaa|agregariaa|2013-05-23T16:36:55.0000000Z
dependenciasnobloq|f1t35|soltarbandeja|f1t31|2013-05-23T16:39:59.0000000Z
dependenciasnobloq|f1t37|esterilizar|f1t31|2013-05-23T16:40:16.0000000Z
dependenciasnobloq|f1t39|soltarchopocabina|f1t31|2013-05-23T16:42:14.0000000Z
accionrealizada|f1t42|apagarcabina|apagarcabina|2013-05-23T16:42:54.0000000Z
accionrealizada|f2t23|tomarmezclapcr|tomarmezclapcr|2013-05-23T16:52:33.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-23T16:52:42.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-23T16:52:44.0000000Z
accionrealizada|f2t29|sacartuboeppendorf|sacartuboeppendorf|2013-05-23T16:55:24.0000000Z
accionnoencontrada| |entregarpipetaazul| |2013-05-23T16:55:57.0000000Z
accionnoencontrada| |entregarpipetaazul| |2013-05-23T16:56:10.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2013-05-23T16:57:00.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2013-05-23T16:58:06.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2013-05-23T16:58:08.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-23T16:58:18.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2013-05-23T16:58:27.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2013-05-23T16:58:29.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-23T16:58:29.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2013-05-23T16:58:39.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-23T16:58:40.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-23T16:58:42.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-23T16:58:44.0000000Z
dependenciabloq|f2t14|tomaraguadestilada|f2t6|2013-05-23T16:59:08.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-23T16:59:43.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-23T17:01:49.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2013-05-23T17:02:01.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2013-05-23T17:02:03.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-23T17:02:04.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-23T17:02:07.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-23T17:02:09.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-23T17:02:13.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-23T17:02:16.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-23T17:02:18.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-23T17:02:20.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-23T17:02:22.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-23T17:02:24.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-23T17:02:26.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-23T17:02:28.0000000Z
