accionrealizada|f0t1|entregarbata|entregarbata|2014-05-19T16:59:25.0000000Z
accionrealizada|f0t8|entregarguantes|entregarguantes|2014-05-19T17:10:48.0000000Z
accionnoencontrada| |agregaragarosa| |2014-05-19T17:18:44.0000000Z
dependenciabloq|f1t33|agregariaa|f1t32|2014-05-19T17:24:45.0000000Z
dependenciabloq|f1t33|agregariaa|f1t32|2014-05-19T17:25:04.0000000Z
dependenciabloq|f1t33|agregariaa|f1t32|2014-05-19T17:25:27.0000000Z
dependenciabloq|f1t33|agregariaa|f1t32|2014-05-19T17:25:52.0000000Z
dependenciasnobloq|f1t20|apagaragitador| f1t14-f1t16|2014-05-19T17:27:45.0000000Z
accionrealizada|f1t20|apagaragitador|apagaragitador|2014-05-19T17:27:54.0000000Z
accionrealizada|f1t30|encendercabina|encendercabina|2014-05-19T17:33:07.0000000Z
accionrealizada|f1t28|entregarbotellaautoclavada|entregarbotellaautoclavada|2014-05-19T17:34:18.0000000Z
accionrealizada|f1t28|entregarbotellaautoclavada|entregarbotellaautoclavada|2014-05-19T17:34:25.0000000Z
accionrealizada|f1t36|llenarbotes|llenarbotes|2014-05-19T17:38:32.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2014-05-19T17:40:31.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2014-05-19T17:42:51.0000000Z
accionrealizada|f1t42|apagarcabina|apagarcabina|2014-05-19T17:44:24.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2014-05-19T18:14:36.0000000Z
accionnoencontrada| |tomaradnplasmidico| |2014-05-19T18:23:16.0000000Z
accionrealizada|f2t28|soltarboteeppendorf|soltarboteeppendorf|2014-05-19T18:27:24.0000000Z
accionrealizada|f2t29|sacartuboeppendorf|sacartuboeppendorf|2014-05-19T18:28:37.0000000Z
accionrealizada|f2t29|sacartuboeppendorf|sacartuboeppendorf|2014-05-19T18:29:21.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-05-19T18:34:07.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-05-19T18:34:12.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-05-19T18:34:16.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-05-19T18:34:51.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-05-19T18:34:56.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-05-19T18:35:00.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-05-19T18:35:05.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-05-19T18:35:09.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-05-19T18:35:14.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-05-19T18:35:18.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-05-19T18:35:22.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-05-19T18:35:27.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:37:26.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:38:35.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:39:09.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:40:08.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:42:20.0000000Z
accionrealizada|f2t52|finmezcla|finmezcla|2014-05-19T18:48:11.0000000Z
dependenciabloq|f2t54|entregartubomezcla|f2t53|2014-05-19T18:59:49.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-05-19T19:15:43.0000000Z
accionrealizada|f2t59|entregarmezclapcr|entregarmezclapcr|2014-05-19T19:25:17.0000000Z
accionrealizada|f2t60|guardarpcr|guardarpcr|2014-05-19T19:26:32.0000000Z
accionrealizada|f2t60|guardarpcr|guardarpcr|2014-05-19T19:26:49.0000000Z
accionrealizada|f3t32|iniciarmezcla|iniciarmezcla|2014-05-19T19:38:22.0000000Z
accionrealizada|f3t35|agregartamponligasa|agregartamponligasa|2014-05-19T19:39:21.0000000Z
dependenciasnobloq|f3t52|finmezcla|f3t34-f3t37|2014-05-19T19:39:51.0000000Z
dependenciabloq|f3t30||f3t29|2014-05-19T19:51:03.0000000Z
dependenciasnobloq|f3t52|finmezcla|f3t34-f3t37|2014-05-19T19:58:05.0000000Z
dependenciasnobloq|f3t52|finmezcla|f3t34-f3t37|2014-05-19T19:59:23.0000000Z
