dependenciabloq|f0t7|lavarsemanos|f0t4|2014-05-19T17:25:07.0000000Z
dependenciabloq|f0t5|releerfundamentos|f0t3|2014-05-19T17:26:00.0000000Z
dependenciabloq|f0t5|releerfundamentos|f0t3|2014-05-19T17:26:10.0000000Z
dependenciabloq|f0t5|releerfundamentos|f0t3|2014-05-19T17:26:13.0000000Z
dependenciabloq|f0t5|releerfundamentos|f0t3|2014-05-19T17:26:15.0000000Z
dependenciabloq|f0t6|releerprotocolo|f0t4|2014-05-19T17:26:18.0000000Z
dependenciabloq|f0t5|releerfundamentos|f0t3|2014-05-19T17:26:30.0000000Z
dependenciabloq|f0t5|releerfundamentos|f0t3|2014-05-19T17:26:33.0000000Z
dependenciabloq|f0t5|releerfundamentos|f0t3|2014-05-19T17:26:35.0000000Z
dependenciabloq|f0t5|releerfundamentos|f0t3|2014-05-19T17:26:38.0000000Z
dependenciabloq|f0t5|releerfundamentos|f0t3|2014-05-19T17:26:41.0000000Z
dependenciabloq|f0t5|releerfundamentos|f0t3|2014-05-19T17:26:45.0000000Z
dependenciabloq|f0t5|releerfundamentos|f0t3|2014-05-19T17:27:00.0000000Z
dependenciabloq|f0t5|releerfundamentos|f0t3|2014-05-19T17:27:03.0000000Z
dependenciabloq|f0t5|releerfundamentos|f0t3|2014-05-19T17:27:11.0000000Z
dependenciabloq|f0t5|releerfundamentos|f0t3|2014-05-19T17:27:14.0000000Z
dependenciabloq|f0t5|releerfundamentos|f0t3|2014-05-19T17:27:17.0000000Z
dependenciabloq|f0t5|releerfundamentos|f0t3|2014-05-19T17:27:20.0000000Z
dependenciabloq|f0t6|releerprotocolo|f0t4|2014-05-19T17:28:15.0000000Z
dependenciabloq|f0t6|releerprotocolo|f0t4|2014-05-19T17:28:20.0000000Z
dependenciabloq|f0t6|releerprotocolo|f0t4|2014-05-19T17:28:23.0000000Z
dependenciabloq|f0t6|releerprotocolo|f0t4|2014-05-19T17:28:26.0000000Z
dependenciabloq|f0t6|releerprotocolo|f0t4|2014-05-19T17:28:46.0000000Z
dependenciabloq|f0t6|releerprotocolo|f0t4|2014-05-19T17:28:49.0000000Z
dependenciabloq|f0t6|releerprotocolo|f0t4|2014-05-19T17:28:52.0000000Z
dependenciabloq|f0t6|releerprotocolo|f0t4|2014-05-19T17:29:01.0000000Z
dependenciabloq|f0t2|bloquearpoyata|f0t1|2014-05-19T17:30:20.0000000Z
dependenciabloq|f0t2|bloquearpoyata|f0t1|2014-05-19T17:30:36.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-19T17:36:33.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-05-19T17:36:39.0000000Z
