dependenciabloq|f0t4|leerprotocolo|f0t3|2015-06-17T09:40:43.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:56:47.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:56:49.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:56:52.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:56:54.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:56:56.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:56:59.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:57:01.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:57:03.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:57:06.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:57:19.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:57:25.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:57:27.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:57:30.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:57:38.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:57:40.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:57:43.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:57:45.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:57:47.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:57:50.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:57:52.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:57:54.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:57:56.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:57:59.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:58:01.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:58:03.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:58:06.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:58:08.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:58:10.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:58:13.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:58:15.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:58:17.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:58:20.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:58:22.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:58:24.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:58:26.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:58:29.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:58:31.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:58:33.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:58:36.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:58:38.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:58:41.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:58:43.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:58:45.0000000Z
accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2015-06-17T09:58:48.0000000Z
dependenciabloq|f1t12|agregarmys|f1t11|2015-06-17T10:00:58.0000000Z
dependenciabloq|f1t13|agregarsacarosa|f1t11|2015-06-17T10:01:00.0000000Z
dependenciabloq|f1t12|agregarmys|f1t11|2015-06-17T10:01:12.0000000Z
