dependenciasnobloq|f1t20|apagaragitador| f1t16|2015-06-16T09:20:24.0000000Z
accionrealizada|f1t11|encenderagitador|encenderagitador|2015-06-16T09:20:55.0000000Z
accionnoencontrada| |bloquearpoyata| |2015-06-16T09:24:13.0000000Z
accionnoencontrada| |bloquearpoyata| |2015-06-16T09:24:30.0000000Z
accionnoencontrada| |entregarbandejahielo| |2015-06-16T09:28:58.0000000Z
accionnoencontrada| |entregarboteeppendorf| |2015-06-16T09:34:19.0000000Z
dependenciabloq|f1t28|entregarbotellaautoclavada|f1t27|2015-06-16T09:34:57.0000000Z
dependenciabloq|f1t28|entregarbotellaautoclavada|f1t27|2015-06-16T09:35:00.0000000Z
accionnoencontrada| |entregarboteeppendorf| |2015-06-16T09:35:18.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2015-06-16T09:40:22.0000000Z
accionrealizada|f1t40|cortarplanta|cortarplanta|2015-06-16T09:40:38.0000000Z
dependenciabloq|f2t7|tomaradn|f2t6|2015-06-16T09:48:16.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2015-06-16T09:48:36.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2015-06-16T09:48:42.0000000Z
accionnoencontrada| |tomaradnplasmidico| |2015-06-16T09:52:13.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-16T09:54:18.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2015-06-16T09:57:23.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2015-06-16T09:57:40.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2015-06-16T09:58:10.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2015-06-16T09:58:30.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2015-06-16T09:59:07.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2015-06-16T09:59:30.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-16T09:59:54.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2015-06-16T09:59:59.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2015-06-16T10:01:06.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2015-06-16T10:01:20.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2015-06-16T10:01:43.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2015-06-16T10:01:46.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2015-06-16T10:01:49.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2015-06-16T10:01:53.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2015-06-16T10:01:56.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2015-06-16T10:01:59.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2015-06-16T10:02:02.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2015-06-16T10:02:05.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2015-06-16T10:04:03.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-16T10:04:11.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-16T10:04:14.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2015-06-16T10:04:54.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2015-06-16T10:05:54.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2015-06-16T10:06:06.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2015-06-16T10:06:09.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-16T10:07:50.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2015-06-16T10:07:59.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2015-06-16T10:10:45.0000000Z
