accionrealizada|f0t1|entregarbata|entregarbata|2013-05-10T14:50:13.0000000Z
dependenciabloq|f0t4|leerprotocolo|f0t3|2013-05-10T14:55:44.0000000Z
accionrealizada|f1t21|entregarbotella|entregarbotella|2013-05-10T15:17:23.0000000Z
dependenciabloq|f1t23|movermezclaabotella|f1t20|2013-05-10T15:18:46.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2013-05-10T15:30:01.0000000Z
accionrealizada|f1t34|entregarbandeja|entregarbandeja|2013-05-10T15:35:58.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2013-05-10T15:37:14.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2013-05-10T15:37:21.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2013-05-10T15:37:31.0000000Z
dependenciabloq|f2t7|tomaradn|f2t6|2013-05-10T16:02:46.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2013-05-10T16:03:35.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2013-05-10T16:04:45.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2013-05-10T16:04:52.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2013-05-10T16:04:54.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2013-05-10T16:05:04.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2013-05-10T16:05:08.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2013-05-10T16:05:10.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2013-05-10T16:05:21.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2013-05-10T16:09:32.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2013-05-10T16:09:37.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2013-05-10T16:10:52.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2013-05-10T16:10:55.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2013-05-10T16:24:19.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2013-05-10T16:26:32.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2013-05-10T16:26:48.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2013-05-10T16:26:52.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2013-05-10T16:28:45.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2013-05-10T16:31:31.0000000Z
dependenciasnobloq|f2t52|finmezcla|f2t37|2013-05-10T16:32:28.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-10T16:34:34.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-10T16:35:16.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-10T16:35:46.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-10T16:35:48.0000000Z
accionnoencontrada| |encenderpcr| |2013-05-10T16:44:33.0000000Z
accionnoencontrada| |encenderpcr| |2013-05-10T16:44:37.0000000Z
accionnoencontrada| |encenderpcr| |2013-05-10T16:44:42.0000000Z
accionnoencontrada| |encenderpcr| |2013-05-10T16:44:57.0000000Z
