dependenciasnobloq|f1t20|apagaragitador| f1t14-f1t16|2013-05-10T15:14:21.0000000Z
incompatibilidadnobloq|f1t16|agregaragar|f1t20|2013-05-10T15:16:07.0000000Z
accionrealizada|f1t11|encenderagitador|encenderagitador|2013-05-10T15:16:27.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2013-05-10T15:36:48.0000000Z
accionrealizada|f1t41|adjuntarbandeja|adjuntarbandeja|2013-05-10T15:39:55.0000000Z
accionnoencontrada| |entregarguantes| |2013-05-10T15:46:10.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2013-05-10T15:49:51.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2013-05-10T15:50:01.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t32|2013-05-10T15:55:49.0000000Z
dependenciasnobloq|f2t52|finmezcla|f2t36-f2t38-f2t39-f2t41|2013-05-10T15:58:22.0000000Z
accionrealizada|f2t57|cerrarpcr|cerrarpcr|2013-05-10T15:59:38.0000000Z
accionrealizada|f2t58|amplificarfragmento|amplificarfragmento|2013-05-10T15:59:43.0000000Z
dependenciabloq|f2t59|entregarmezclapcr|f2t58|2013-05-10T15:59:57.0000000Z
dependenciabloq|f2t59|entregarmezclapcr|f2t58|2013-05-10T16:00:39.0000000Z
dependenciabloq|f2t59|entregarmezclapcr|f2t58|2013-05-10T16:00:55.0000000Z
dependenciabloq|f2t59|entregarmezclapcr|f2t58|2013-05-10T16:00:57.0000000Z
dependenciabloq|f2t59|entregarmezclapcr|f2t58|2013-05-10T16:01:58.0000000Z
dependenciabloq|f2t59|entregarmezclapcr|f2t58|2013-05-10T16:02:02.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-10T16:04:05.0000000Z
dependenciabloq|f2t59|entregarmezclapcr|f2t58|2013-05-10T16:04:13.0000000Z
dependenciabloq|f2t59|entregarmezclapcr|f2t58|2013-05-10T16:04:15.0000000Z
accionnoencontrada| |sacartuboligacion| |2013-05-10T16:04:38.0000000Z
accionnoencontrada| |sacartuboligacion| |2013-05-10T16:04:40.0000000Z
dependenciabloq|f2t59|entregarmezclapcr|f2t58|2013-05-10T16:05:52.0000000Z
dependenciabloq|f2t59|entregarmezclapcr|f2t58|2013-05-10T16:07:31.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-10T16:07:35.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2013-05-10T16:08:05.0000000Z
dependenciabloq|f2t59|entregarmezclapcr|f2t58|2013-05-10T16:08:22.0000000Z
dependenciabloq|f2t59|entregarmezclapcr|f2t58|2013-05-10T16:08:32.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2013-05-10T16:12:40.0000000Z
accionnoencontrada| |agregaragrobacterium| |2013-05-10T16:24:34.0000000Z
accionnoencontrada| |agregaragrobacterium| |2013-05-10T16:25:32.0000000Z
accionnoencontrada| |agregaragrobacterium| |2013-05-10T16:25:39.0000000Z
accionnoencontrada| |agregaragrobacterium| |2013-05-10T16:27:23.0000000Z
accionnoencontrada| |agregaragrobacterium| |2013-05-10T16:27:54.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2013-05-10T16:34:04.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2013-05-10T16:34:08.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2013-05-10T16:34:11.0000000Z
accionrealizada|f3t29|entregarpipetaamarilla|entregarpipetaamarilla|2013-05-10T16:34:25.0000000Z
dependenciabloq|f3t31|cargarpuntaamarilla|f3t30|2013-05-10T16:34:27.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2013-05-10T16:35:19.0000000Z
accionrealizada|f3t29|entregarpipetaamarilla|entregarpipetaamarilla|2013-05-10T16:35:23.0000000Z
dependenciabloq|f3t31|cargarpuntaamarilla|f3t30|2013-05-10T16:35:31.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2013-05-10T16:35:36.0000000Z
accionrealizada|f3t29|entregarpipetaamarilla|entregarpipetaamarilla|2013-05-10T16:35:40.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2013-05-10T16:35:55.0000000Z
dependenciabloq|f3t32|iniciarmezcla|f3t30|2013-05-10T16:35:57.0000000Z
accionrealizada|f3t29|entregarpipetaamarilla|entregarpipetaamarilla|2013-05-10T16:36:02.0000000Z
