accionrealizada|f0t7|lavarsemanos|lavarsemanos|2013-05-10T15:29:38.0000000Z
accionnoencontrada| |lavarsemanos| |2013-05-10T15:33:03.0000000Z
dependenciasnobloq|f1t20|apagaragitador| f1t14-f1t16|2013-05-10T15:36:22.0000000Z
accionnoencontrada| |entregarvaso| |2013-05-10T15:43:06.0000000Z
accionnoencontrada| |entregarvaso| |2013-05-10T15:43:58.0000000Z
accionrealizada|f1t34|entregarbandeja|entregarbandeja|2013-05-10T15:52:27.0000000Z
accionnoencontrada| |entregarboteeppendorf| |2013-05-10T15:59:45.0000000Z
dependenciasnobloq|f1t35|soltarbandeja|f1t31|2013-05-10T16:11:37.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:11:51.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:12:00.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:12:02.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:12:04.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:12:06.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:12:10.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:12:16.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:12:29.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:12:39.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:12:41.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:12:50.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:12:53.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:12:55.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:12:57.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:12:59.0000000Z
accionrealizada|f1t35|soltarbandeja|soltarbandeja|2013-05-10T16:13:32.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:13:38.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:14:31.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:19:05.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:19:38.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:20:43.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:20:45.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:20:47.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:20:49.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:21:00.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:21:02.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:21:04.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:21:06.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:21:08.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:21:10.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:21:37.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:21:50.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:22:17.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:24:10.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:24:12.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:24:18.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:24:26.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:24:28.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:26:43.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:26:46.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:31:05.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2013-05-10T16:31:07.0000000Z
accionnoencontrada| |entregarboteeppendorf| |2013-05-10T16:38:25.0000000Z
accionnoencontrada| |entregarboteeppendorf| |2013-05-10T16:38:29.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2013-05-10T16:45:34.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2013-05-10T16:53:22.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-10T16:54:06.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-10T16:54:43.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2013-05-10T16:59:05.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2013-05-10T17:00:10.0000000Z
accionnoencontrada| |guardarligacion| |2013-05-10T17:00:18.0000000Z
accionrealizada|f2t36|agregaroligonucleicoder|agregaroligonucleicoder|2013-05-10T17:05:21.0000000Z
accionrealizada|f2t36|agregaroligonucleicoder|agregaroligonucleicoder|2013-05-10T17:05:30.0000000Z
accionrealizada|f2t49|agregartampote|agregartampote|2013-05-10T17:05:41.0000000Z
dependenciasnobloq|f2t52|finmezcla|f2t34-f2t35-f2t38-f2t39-f2t40|2013-05-10T17:05:43.0000000Z
incompatibilidadnobloq|f2t52|finmezcla|f2t43-f2t49|2013-05-10T17:05:43.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-10T17:06:46.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-10T17:06:55.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-10T17:08:08.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2013-05-10T17:11:26.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2013-05-10T17:11:32.0000000Z
accionnoencontrada| |guardarligacion| |2013-05-10T17:11:41.0000000Z
dependenciabloq|f2t13|tomarpolimerasa|f2t6|2013-05-10T17:11:53.0000000Z
accionnoencontrada| |sacartuboligacion| |2013-05-10T17:12:32.0000000Z
