accionrealizada|f1t6|llenarvasoconagua|llenarvasoconagua|2014-06-05T17:14:21.0000000Z
accionrealizada|f1t13|agregarsacarosa|agregarsacarosa|2014-06-05T17:21:09.0000000Z
dependenciasnobloq|f1t20|apagaragitador| f1t14-f1t16|2014-06-05T17:21:47.0000000Z
incompatibilidadnobloq|f1t20|apagaragitador|f1t18|2014-06-05T17:21:48.0000000Z
accionrealizada|f1t20|apagaragitador|apagaragitador|2014-06-05T17:21:55.0000000Z
accionrealizada|f1t41|adjuntarbandeja|adjuntarbandeja|2014-06-05T17:37:13.0000000Z
accionrealizada|f1t38|entregarchopo|entregarchopo|2014-06-05T17:39:54.0000000Z
accionnoencontrada| |bloquearpoyata| |2014-06-05T17:41:34.0000000Z
accionnoencontrada| |bloquearpoyata| |2014-06-05T17:41:49.0000000Z
accionnoencontrada| |bloquearpoyata| |2014-06-05T17:43:05.0000000Z
accionnoencontrada| |bloquearpoyata| |2014-06-05T17:45:31.0000000Z
accionnoencontrada| |bloquearpoyata| |2014-06-05T17:46:17.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2014-06-05T18:00:11.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-06-05T18:03:50.0000000Z
dependenciasnobloq|f2t52|finmezcla|f2t34-f2t35-f2t36-f2t37-f2t38-f2t39-f2t40|2014-06-05T18:04:09.0000000Z
incompatibilidadnobloq|f2t52|finmezcla|f2t49|2014-06-05T18:04:14.0000000Z
accionrealizada|f2t49|agregartampote|agregartampote|2014-06-05T18:04:20.0000000Z
accionrealizada|f2t31|adjuntarpipetaamarilla|adjuntarpipetaamarilla|2014-06-05T18:04:36.0000000Z
accionrealizada|f2t49|agregartampote|agregartampote|2014-06-05T18:05:27.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-06-05T18:05:37.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-06-05T18:05:44.0000000Z
accionrealizada|f2t49|agregartampote|agregartampote|2014-06-05T18:05:59.0000000Z
accionrealizada|f2t52|finmezcla|finmezcla|2014-06-05T18:06:13.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-06-05T18:07:43.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-06-05T18:08:00.0000000Z
accionrealizada|f2t52|finmezcla|finmezcla|2014-06-05T18:08:03.0000000Z
accionrealizada|f2t49|agregartampote|agregartampote|2014-06-05T18:08:34.0000000Z
accionnoencontrada| |sacartuboligacion| |2014-06-05T18:10:33.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-06-05T18:11:06.0000000Z
accionrealizada|f2t49|agregartampote|agregartampote|2014-06-05T18:11:09.0000000Z
accionrealizada|f2t41|agregaraguadestilada|agregaraguadestilada|2014-06-05T18:11:13.0000000Z
accionrealizada|f2t52|finmezcla|finmezcla|2014-06-05T18:11:16.0000000Z
