dependenciabloq|f0t4|leerprotocolo|f0t3|2014-06-05T16:54:11.0000000Z
dependenciasnobloq|f1t1|entregarvaso| f0t7-f0t8|2014-06-05T16:59:48.0000000Z
accionnoencontrada| |entregarvaso| |2014-06-05T17:03:33.0000000Z
accionnoencontrada| |entregarbata| |2014-06-05T17:11:22.0000000Z
dependenciasnobloq|f1t20|apagaragitador| f1t14-f1t16|2014-06-05T17:16:20.0000000Z
dependenciasnobloq|f1t21|entregarbotella|f0t8|2014-06-05T17:16:40.0000000Z
accionrealizada|f1t34|entregarbandeja|entregarbandeja|2014-06-05T17:19:36.0000000Z
dependenciabloq|f1t28|entregarbotellaautoclavada|f1t27|2014-06-05T17:32:23.0000000Z
accionrealizada|f1t28|entregarbotellaautoclavada|entregarbotellaautoclavada|2014-06-05T17:32:55.0000000Z
accionrealizada|f1t28|entregarbotellaautoclavada|entregarbotellaautoclavada|2014-06-05T17:32:58.0000000Z
accionrealizada|f1t38|entregarchopo|entregarchopo|2014-06-05T17:39:27.0000000Z
accionrealizada|f1t38|entregarchopo|entregarchopo|2014-06-05T17:39:39.0000000Z
accionrealizada|f1t38|entregarchopo|entregarchopo|2014-06-05T17:39:48.0000000Z
accionrealizada|f1t38|entregarchopo|entregarchopo|2014-06-05T17:39:51.0000000Z
accionrealizada|f1t36|llenarbotes|llenarbotes|2014-06-05T17:40:48.0000000Z
accionrealizada|f1t41|adjuntarbandeja|adjuntarbandeja|2014-06-05T17:41:08.0000000Z
accionrealizada|f1t30|encendercabina|encendercabina|2014-06-05T17:41:52.0000000Z
accionrealizada|f2t55|abrirpcr|abrirpcr|2014-06-05T18:04:45.0000000Z
accionrealizada|f2t55|abrirpcr|abrirpcr|2014-06-05T18:04:48.0000000Z
accionrealizada|f2t55|abrirpcr|abrirpcr|2014-06-05T18:04:54.0000000Z
accionrealizada|f2t55|abrirpcr|abrirpcr|2014-06-05T18:05:00.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t29|2014-06-05T18:05:46.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2014-06-05T18:06:15.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2014-06-05T18:06:19.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2014-06-05T18:06:26.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2014-06-05T18:06:31.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2014-06-05T18:06:35.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2014-06-05T18:06:45.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2014-06-05T18:07:06.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2014-06-05T18:07:10.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2014-06-05T18:07:14.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2014-06-05T18:07:18.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2014-06-05T18:07:33.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2014-06-05T18:07:37.0000000Z
