dependenciabloq|f0t7|lavarsemanos|f0t4|2015-06-15T09:26:02.0000000Z
accionnoencontrada| |agregaragarosa| |2015-06-15T09:44:00.0000000Z
accionnoencontrada| |agregaragarosa| |2015-06-15T09:44:47.0000000Z
dependenciasnobloq|f1t16|agregaragar| f1t14|2015-06-15T09:45:02.0000000Z
accionnoencontrada| |agregaragarosa| |2015-06-15T09:45:09.0000000Z
accionrealizada|f1t12|agregarmys|agregarmys|2015-06-15T09:45:28.0000000Z
dependenciasnobloq|f1t20|apagaragitador| f1t14|2015-06-15T09:47:16.0000000Z
incompatibilidadnobloq|f1t20|apagaragitador|f1t17-f1t18-f1t19|2015-06-15T09:47:16.0000000Z
accionrealizada|f1t11|encenderagitador|encenderagitador|2015-06-15T09:47:31.0000000Z
accionrealizada|f1t11|encenderagitador|encenderagitador|2015-06-15T09:47:49.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2015-06-15T09:48:33.0000000Z
accionrealizada|f1t34|entregarbandeja|entregarbandeja|2015-06-15T09:49:58.0000000Z
accionrealizada|f1t34|entregarbandeja|entregarbandeja|2015-06-15T09:50:09.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-15T09:54:36.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-15T09:54:41.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-15T09:55:08.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-15T09:55:11.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-15T09:55:35.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-15T09:55:38.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-15T09:55:44.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-15T09:55:47.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-15T09:55:49.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-15T09:55:54.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-15T09:56:49.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-15T09:56:51.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-15T09:56:54.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-15T09:56:57.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-15T09:56:59.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-15T09:57:02.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2015-06-15T09:57:16.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2015-06-15T09:57:18.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2015-06-15T09:57:21.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-15T09:57:22.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2015-06-15T09:57:26.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-15T09:58:15.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2015-06-15T09:58:26.0000000Z
accionrealizada|f1t34|entregarbandeja|entregarbandeja|2015-06-15T09:59:51.0000000Z
dependenciabloq|f1t28|entregarbotellaautoclavada|f1t27|2015-06-15T10:00:36.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-15T10:03:01.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-15T10:03:14.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2015-06-15T10:03:18.0000000Z
dependenciabloq|f1t36|llenarbotes|f1t32|2015-06-15T10:05:10.0000000Z
accionnoencontrada| |tomartampote| |2015-06-15T10:06:35.0000000Z
accionrealizada|f1t37|esterilizar|esterilizar|2015-06-15T10:07:15.0000000Z
dependenciabloq|f1t40|cortarplanta|f1t39|2015-06-15T10:07:19.0000000Z
dependenciabloq|f1t40|cortarplanta|f1t39|2015-06-15T10:08:23.0000000Z
dependenciabloq|f1t40|cortarplanta|f1t39|2015-06-15T10:12:25.0000000Z
accionnoencontrada| |entregarchopocrecido| |2015-06-15T10:17:03.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-15T10:19:41.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-15T10:20:33.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2015-06-15T10:23:44.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2015-06-15T10:23:49.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2015-06-15T10:23:56.0000000Z
