dependenciabloq|f0t2|bloquearpoyata|f0t1|2013-05-10T15:04:39.0000000Z
dependenciabloq|f0t7|lavarsemanos|f0t4|2013-05-10T15:08:20.0000000Z
dependenciabloq|f0t4|leerprotocolo|f0t3|2013-05-10T15:08:46.0000000Z
dependenciabloq|f0t4|leerprotocolo|f0t3|2013-05-10T15:08:48.0000000Z
accionrealizada|f0t7|lavarsemanos|lavarsemanos|2013-05-10T15:10:01.0000000Z
accionrealizada|f1t12|agregarmys|agregarmys|2013-05-10T15:22:53.0000000Z
dependenciasnobloq|f1t16|agregaragar| f1t14|2013-05-10T15:23:17.0000000Z
accionnoencontrada| |agregaragarosa| |2013-05-10T15:23:48.0000000Z
dependenciasnobloq|f1t20|apagaragitador| f1t14|2013-05-10T15:24:17.0000000Z
incompatibilidadnobloq|f1t20|apagaragitador|f1t19|2013-05-10T15:24:17.0000000Z
accionrealizada|f1t23|movermezclaabotella|movermezclaabotella|2013-05-10T15:26:00.0000000Z
accionrealizada|f1t28|entregarbotellaautoclavada|entregarbotellaautoclavada|2013-05-10T15:37:07.0000000Z
accionnoencontrada| |tomartampote| |2013-05-10T15:38:42.0000000Z
accionnoencontrada| |tomaraguadestilada| |2013-05-10T15:38:46.0000000Z
accionrealizada|f1t33|agregariaa|agregariaa|2013-05-10T15:40:48.0000000Z
accionrealizada|f1t30|encendercabina|encendercabina|2013-05-10T15:41:36.0000000Z
accionrealizada|f1t33|agregariaa|agregariaa|2013-05-10T15:42:04.0000000Z
accionrealizada|f1t30|encendercabina|encendercabina|2013-05-10T15:43:13.0000000Z
accionrealizada|f1t30|encendercabina|encendercabina|2013-05-10T15:43:58.0000000Z
accionrealizada|f1t33|agregariaa|agregariaa|2013-05-10T15:45:26.0000000Z
accionrealizada|f1t30|encendercabina|encendercabina|2013-05-10T15:46:52.0000000Z
accionrealizada|f1t31|contartiempocabina|contartiempocabina|2013-05-10T15:48:25.0000000Z
accionrealizada|f1t33|agregariaa|agregariaa|2013-05-10T15:51:02.0000000Z
accionrealizada|f1t33|agregariaa|agregariaa|2013-05-10T15:52:17.0000000Z
accionrealizada|f1t33|agregariaa|agregariaa|2013-05-10T15:56:22.0000000Z
accionrealizada|f1t33|agregariaa|agregariaa|2013-05-10T15:59:57.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-10T16:19:28.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-10T16:19:54.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-10T16:19:57.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-10T16:19:59.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2013-05-10T16:22:51.0000000Z
accionnoencontrada| |tomaragrobacterium| |2013-05-10T16:23:49.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-10T16:25:42.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-10T16:26:18.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-10T16:26:20.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-10T16:26:24.0000000Z
accionnoencontrada| |guardarligacion| |2013-05-10T16:28:33.0000000Z
accionrealizada|f2t29|sacartuboeppendorf|sacartuboeppendorf|2013-05-10T16:37:19.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-10T16:37:42.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-10T16:40:25.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-10T16:40:31.0000000Z
dependenciabloq|f2t32|cargarpuntaamarilla|f2t31|2013-05-10T16:40:36.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-10T16:41:23.0000000Z
accionrealizada|f2t5|entregarbandejahielo|entregarbandejahielo|2013-05-10T16:41:39.0000000Z
accionnoencontrada| |tomaragrobacterium| |2013-05-10T16:42:00.0000000Z
accionnoencontrada| |sacartuboligacion| |2013-05-10T16:42:36.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2013-05-10T16:42:37.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t32|2013-05-10T16:43:06.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2013-05-10T16:43:14.0000000Z
accionrealizada|f2t13|tomarpolimerasa|tomarpolimerasa|2013-05-10T16:45:16.0000000Z
accionrealizada|f2t13|tomarpolimerasa|tomarpolimerasa|2013-05-10T16:45:32.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2013-05-10T16:46:45.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2013-05-10T16:46:47.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2013-05-10T16:46:55.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2013-05-10T16:46:57.0000000Z
accionrealizada|f2t42|agregarenzimaligasa|agregarenzimaligasa|2013-05-10T16:48:05.0000000Z
dependenciasnobloq|f2t52|finmezcla|f2t34-f2t35-f2t36-f2t37-f2t38-f2t39|2013-05-10T16:48:40.0000000Z
incompatibilidadnobloq|f2t52|finmezcla|f2t42-f2t43|2013-05-10T16:48:40.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-10T16:49:23.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-10T16:49:47.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-10T16:51:08.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-10T16:51:16.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-10T16:53:00.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2013-05-10T16:53:23.0000000Z
accionnoencontrada| |sacartuboligacion| |2013-05-10T16:55:49.0000000Z
dependenciabloq|f3t1|encendertermobloque|f2t60|2013-05-10T16:56:17.0000000Z
dependenciabloq|f2t60|guardarpcr|f2t59|2013-05-10T16:56:37.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-10T16:58:19.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-10T16:58:23.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-10T16:58:25.0000000Z
dependenciabloq|f2t57|cerrarpcr|f2t56|2013-05-10T17:02:57.0000000Z
accionrealizada|f3t9|tomartamponligasa|tomartamponligasa|2013-05-10T17:12:17.0000000Z
accionnoencontrada| |tomaragrobacterium| |2013-05-10T17:12:37.0000000Z
dependenciasnobloq|f3t52|finmezcla|f3t33-f3t34-f3t36|2013-05-10T17:14:32.0000000Z
